entity,label
http://www.wikidata.org/entity/Q1034140,Justus van Egmont
http://www.wikidata.org/entity/Q1034198,cape
http://www.wikidata.org/entity/Q103459,livestock
http://www.wikidata.org/entity/Q10349690,Peter van Boucle
http://www.wikidata.org/entity/Q103515401,Ariane abandonnée
http://www.wikidata.org/entity/Q1037154,Gillis Coignet
http://www.wikidata.org/entity/Q103766841,Pierre Schlumberger
http://www.wikidata.org/entity/Q10387575,monument historique inscrit
http://www.wikidata.org/entity/Q10387684,classified historical monument
http://www.wikidata.org/entity/Q103896,compass
http://www.wikidata.org/entity/Q103934,Everhard Jabach
http://www.wikidata.org/entity/Q103936833,Élise Gérold
http://www.wikidata.org/entity/Q103960,Semiramis
http://www.wikidata.org/entity/Q103968,Clio
http://www.wikidata.org/entity/Q103975,Calliope
http://www.wikidata.org/entity/Q10398273,St John's Eve
http://www.wikidata.org/entity/Q103992,Melpomene
http://www.wikidata.org/entity/Q104002,Urania
http://www.wikidata.org/entity/Q104012,Euterpe
http://www.wikidata.org/entity/Q104042,Terpsichore
http://www.wikidata.org/entity/Q1041,Senegal
http://www.wikidata.org/entity/Q104161369,Q104161369
http://www.wikidata.org/entity/Q104173652,"Musée Saint-Raymond, Ra 50 bis"
http://www.wikidata.org/entity/Q104173683,"Musée Saint-Raymond, Ra 501"
http://www.wikidata.org/entity/Q104173756,paleochristian sarcophagus Ra 809 b
http://www.wikidata.org/entity/Q104197260,Marie-Adélaïde Duvieux
http://www.wikidata.org/entity/Q1041995,Carlo Carlone
http://www.wikidata.org/entity/Q104212,Humulus lupulus
http://www.wikidata.org/entity/Q104212721,A Portrait by Jean-Baptiste Regnault
http://www.wikidata.org/entity/Q104212759,Saint Francis Receiving the Stigmata
http://www.wikidata.org/entity/Q1042154,Carlo Francesco Maria Caselli
http://www.wikidata.org/entity/Q104243382,Q104243382
http://www.wikidata.org/entity/Q104243397,Q104243397
http://www.wikidata.org/entity/Q104244403,Saint Francis of Assisi in Ecstasy
http://www.wikidata.org/entity/Q1043197,divination
http://www.wikidata.org/entity/Q10435,Musca
http://www.wikidata.org/entity/Q104350032,Q104350032
http://www.wikidata.org/entity/Q104352528,Q104352528
http://www.wikidata.org/entity/Q104352541,Q104352541
http://www.wikidata.org/entity/Q104352792,Q104352792
http://www.wikidata.org/entity/Q104354,Bagrationovsk
http://www.wikidata.org/entity/Q104356040,Q104356040
http://www.wikidata.org/entity/Q104363,anvil
http://www.wikidata.org/entity/Q104369295,Edmé Bouchardon (1698–1762)
http://www.wikidata.org/entity/Q104369300,Q104369300
http://www.wikidata.org/entity/Q104369307,Portrait of Anna de Noailles (1876-1933)
http://www.wikidata.org/entity/Q104369318,Q104369318
http://www.wikidata.org/entity/Q104369323,Q104369323
http://www.wikidata.org/entity/Q104369327,Q104369327
http://www.wikidata.org/entity/Q104369339,Q104369339
http://www.wikidata.org/entity/Q104369345,"View of Paris with the Grand Gallery of the Louvre , the Tour de Bois and the Pont Neuf"
http://www.wikidata.org/entity/Q104369348,Q104369348
http://www.wikidata.org/entity/Q104369352,Q104369352
http://www.wikidata.org/entity/Q104369353,The latecomers
http://www.wikidata.org/entity/Q104370037,Q104370037
http://www.wikidata.org/entity/Q104370096,The Échevins of Paris Praying before St Geneviève
http://www.wikidata.org/entity/Q104370116,Q104370116
http://www.wikidata.org/entity/Q104370125,Q104370125
http://www.wikidata.org/entity/Q104370150,Q104370150
http://www.wikidata.org/entity/Q104370151,Q104370151
http://www.wikidata.org/entity/Q104370156,Q104370156
http://www.wikidata.org/entity/Q104370754,Q104370754
http://www.wikidata.org/entity/Q104370768,Q104370768
http://www.wikidata.org/entity/Q104370785,Q104370785
http://www.wikidata.org/entity/Q104370788,Official Laying of the Cornerstone of the New Church of Sainte-Geneviève
http://www.wikidata.org/entity/Q104370789,Q104370789
http://www.wikidata.org/entity/Q104370818,Q104370818
http://www.wikidata.org/entity/Q104370945,Q104370945
http://www.wikidata.org/entity/Q104370956,Q104370956
http://www.wikidata.org/entity/Q104370985,Boulevard des Capucines and théâtre du Vaudeville
http://www.wikidata.org/entity/Q104371236,Q104371236
http://www.wikidata.org/entity/Q104371247,Q104371247
http://www.wikidata.org/entity/Q104371536,Q104371536
http://www.wikidata.org/entity/Q104371707,Q104371707
http://www.wikidata.org/entity/Q104371723,Q104371723
http://www.wikidata.org/entity/Q104372991,Q104372991
http://www.wikidata.org/entity/Q104373002,Portrait of Claude Nicolas Ledoux (1736-1806) with his daughter
http://www.wikidata.org/entity/Q104373004,Q104373004
http://www.wikidata.org/entity/Q104373012,Interior with the artist at work and a view on the Église Saint-Eustache
http://www.wikidata.org/entity/Q104373067,Q104373067
http://www.wikidata.org/entity/Q104373133,Q104373133
http://www.wikidata.org/entity/Q104373139,"Portrait of Jules Vallès (1832-1885), author"
http://www.wikidata.org/entity/Q104373154,Q104373154
http://www.wikidata.org/entity/Q104373171,Q104373171
http://www.wikidata.org/entity/Q104373173,Q104373173
http://www.wikidata.org/entity/Q104373234,Portrait of Jean de la Fontaine
http://www.wikidata.org/entity/Q104373258,Q104373258
http://www.wikidata.org/entity/Q104373262,"View of Paris with the Grande Galerie du Louvre, the porte Neuve, the Tour de Bois, the Pont-Neuf and la Cité"
http://www.wikidata.org/entity/Q104373264,Q104373264
http://www.wikidata.org/entity/Q104373366,Q104373366
http://www.wikidata.org/entity/Q104373378,Q104373378
http://www.wikidata.org/entity/Q104373386,Maria Malibran as Desdemona in Rossini's Otello
http://www.wikidata.org/entity/Q104373387,Q104373387
http://www.wikidata.org/entity/Q104373413,Q104373413
http://www.wikidata.org/entity/Q104373472,Q104373472
http://www.wikidata.org/entity/Q104373514,Q104373514
http://www.wikidata.org/entity/Q104373571,"Paris, The Bridge of Arts II"
http://www.wikidata.org/entity/Q104373573,Q104373573
http://www.wikidata.org/entity/Q104373591,Q104373591
http://www.wikidata.org/entity/Q104373610,Q104373610
http://www.wikidata.org/entity/Q104373626,Q104373626
http://www.wikidata.org/entity/Q104373628,Q104373628
http://www.wikidata.org/entity/Q104373632,Q104373632
http://www.wikidata.org/entity/Q104373637,Q104373637
http://www.wikidata.org/entity/Q104373644,Q104373644
http://www.wikidata.org/entity/Q104373687,Q104373687
http://www.wikidata.org/entity/Q104373751,Q104373751
http://www.wikidata.org/entity/Q104377169,Q104377169
http://www.wikidata.org/entity/Q104377229,Q104377229
http://www.wikidata.org/entity/Q104377239,Q104377239
http://www.wikidata.org/entity/Q104377248,Q104377248
http://www.wikidata.org/entity/Q104377249,Q104377249
http://www.wikidata.org/entity/Q104377256,Q104377256
http://www.wikidata.org/entity/Q104377257,Q104377257
http://www.wikidata.org/entity/Q104377264,"Françoise-Marguerite de Sévigné, comtesse de Grignan"
http://www.wikidata.org/entity/Q104377328,Q104377328
http://www.wikidata.org/entity/Q104377371,Q104377371
http://www.wikidata.org/entity/Q104377386,Q104377386
http://www.wikidata.org/entity/Q104377791,Q104377791
http://www.wikidata.org/entity/Q104377797,Q104377797
http://www.wikidata.org/entity/Q104377873,Q104377873
http://www.wikidata.org/entity/Q104377888,Q104377888
http://www.wikidata.org/entity/Q104378478,Q104378478
http://www.wikidata.org/entity/Q104378785,Q104378785
http://www.wikidata.org/entity/Q104381698,Q104381698
http://www.wikidata.org/entity/Q104381710,Q104381710
http://www.wikidata.org/entity/Q104381754,Portrait of Natalie Clifford Barney
http://www.wikidata.org/entity/Q104383362,Paintings of penitent Magdalene by La Tour
http://www.wikidata.org/entity/Q104387304,Portrait of Catherine de' Medici (1519-1589)
http://www.wikidata.org/entity/Q104387624,Q104387624
http://www.wikidata.org/entity/Q104387626,H. Vittori
http://www.wikidata.org/entity/Q104387788,Q104387788
http://www.wikidata.org/entity/Q104412508,Augusta Lebaron-Desves
http://www.wikidata.org/entity/Q104413,Erato
http://www.wikidata.org/entity/Q104418620,Louis-Firmin Tournus
http://www.wikidata.org/entity/Q104422931,Dépolarisation de la Conscience II
http://www.wikidata.org/entity/Q104425,Polyhymnia
http://www.wikidata.org/entity/Q1044413,peplos
http://www.wikidata.org/entity/Q104454427,Young woman reading a letter
http://www.wikidata.org/entity/Q1044742,A Sunday Afternoon on the Island of La Grande Jatte
http://www.wikidata.org/entity/Q104475,Gallienus
http://www.wikidata.org/entity/Q10449135,Chevron
http://www.wikidata.org/entity/Q104502852,Landscape with Diana
http://www.wikidata.org/entity/Q104511813,Boy Bitten by a Crayfish
http://www.wikidata.org/entity/Q1045182,Carroll Dunham
http://www.wikidata.org/entity/Q104522491,société des Amis du musée Carnavalet
http://www.wikidata.org/entity/Q104526,pipe
http://www.wikidata.org/entity/Q104529819,"Saint Louis, King of France"
http://www.wikidata.org/entity/Q104536315,De Giotto à Goya. Peintures italiennes et espagnoles du musée des Beaux-Arts de Strasbourg
http://www.wikidata.org/entity/Q104536363,Collection du Musée des Beaux-Arts. Peinture flamande et hollandaise. XVe - XVIIIe siècle
http://www.wikidata.org/entity/Q104536995,The Virgin fainting as Christ is carried to his grave
http://www.wikidata.org/entity/Q1045385,Carré d'art
http://www.wikidata.org/entity/Q104555,ruler
http://www.wikidata.org/entity/Q104581448,Madonna and Child
http://www.wikidata.org/entity/Q104581613,A Miracle by Saint Benedict
http://www.wikidata.org/entity/Q104582203,Saint Roch
http://www.wikidata.org/entity/Q104583523,Mystic Marriage of Saint Catherine of Alexandria
http://www.wikidata.org/entity/Q1045848,lancer
http://www.wikidata.org/entity/Q104589935,Portrait of a Donor and his Sons
http://www.wikidata.org/entity/Q104589975,Portrait of a Donor and her Daughter
http://www.wikidata.org/entity/Q104590190,Guardhouse
http://www.wikidata.org/entity/Q104597967,Portrait of Jacopo Soranzo
http://www.wikidata.org/entity/Q104597998,Christ fallen under the Cross
http://www.wikidata.org/entity/Q104598036,Deposition of Christ
http://www.wikidata.org/entity/Q104599332,Christ on the Cross with Saint Francis of Assisi
http://www.wikidata.org/entity/Q104600801,Theorbo Player
http://www.wikidata.org/entity/Q104600837,Portrait of a Man
http://www.wikidata.org/entity/Q104600926,Portrait of a Woman
http://www.wikidata.org/entity/Q104602357,Eleonore Stiasny
http://www.wikidata.org/entity/Q104603214,Saint Ursula
http://www.wikidata.org/entity/Q104603227,Saint Engratia
http://www.wikidata.org/entity/Q104603326,Nativity of the Virgin
http://www.wikidata.org/entity/Q104603339,Resurrected Christ
http://www.wikidata.org/entity/Q104603351,Saint Bruno in Prayer
http://www.wikidata.org/entity/Q104603412,The Four Elements
http://www.wikidata.org/entity/Q104615069,Saint Francis receiving the Stigmata
http://www.wikidata.org/entity/Q104635218,The Card Players
http://www.wikidata.org/entity/Q104635236,Edge of a Forest with Hunters
http://www.wikidata.org/entity/Q104637756,Elegant Figures in an Interior
http://www.wikidata.org/entity/Q104637799,"Church interior, by night"
http://www.wikidata.org/entity/Q104638799,Resurrection of Christ
http://www.wikidata.org/entity/Q104639838,"Musée Saint-Raymond, Ra 342 c"
http://www.wikidata.org/entity/Q104640981,Saint Francis receiving the Stigmata
http://www.wikidata.org/entity/Q104641096,Francis receiving the stigmata
http://www.wikidata.org/entity/Q104671352,St Francis receiving the stigmata
http://www.wikidata.org/entity/Q104672329,Q104672329
http://www.wikidata.org/entity/Q104680,colonel
http://www.wikidata.org/entity/Q104694359,WikiProject PCC Wikidata Pilot/Frick Art Reference Library
http://www.wikidata.org/entity/Q1047054,Arrien-en-Bethmale
http://www.wikidata.org/entity/Q104727200,Antoninien 2000.23.338
