Id,Jid,entity,label
208,Q104369295,http://www.wikidata.org/entity/Q104369295,Edmé Bouchardon (1698–1762)
209,Q104369300,http://www.wikidata.org/entity/Q104369300,Q104369300
210,Q104369307,http://www.wikidata.org/entity/Q104369307,Portrait of Anna de Noailles (1876-1933)
211,Q104369318,http://www.wikidata.org/entity/Q104369318,Q104369318
212,Q104369323,http://www.wikidata.org/entity/Q104369323,Q104369323
213,Q104369327,http://www.wikidata.org/entity/Q104369327,Q104369327
214,Q104369339,http://www.wikidata.org/entity/Q104369339,Q104369339
215,Q104369345,http://www.wikidata.org/entity/Q104369345,"View of Paris with the Grand Gallery of the Louvre , the Tour de Bois and the Pont Neuf"
216,Q104369348,http://www.wikidata.org/entity/Q104369348,Q104369348
217,Q104369352,http://www.wikidata.org/entity/Q104369352,Q104369352
218,Q104369353,http://www.wikidata.org/entity/Q104369353,The latecomers
219,Q104370037,http://www.wikidata.org/entity/Q104370037,Q104370037
220,Q104370096,http://www.wikidata.org/entity/Q104370096,The Échevins of Paris Praying before St Geneviève
221,Q104370116,http://www.wikidata.org/entity/Q104370116,Q104370116
222,Q104370125,http://www.wikidata.org/entity/Q104370125,Q104370125
223,Q104370150,http://www.wikidata.org/entity/Q104370150,Q104370150
224,Q104370151,http://www.wikidata.org/entity/Q104370151,Q104370151
225,Q104370156,http://www.wikidata.org/entity/Q104370156,Q104370156
226,Q104370754,http://www.wikidata.org/entity/Q104370754,Q104370754
227,Q104370768,http://www.wikidata.org/entity/Q104370768,Q104370768
228,Q104370785,http://www.wikidata.org/entity/Q104370785,Q104370785
229,Q104370788,http://www.wikidata.org/entity/Q104370788,Official Laying of the Cornerstone of the New Church of Sainte-Geneviève
230,Q104370789,http://www.wikidata.org/entity/Q104370789,Q104370789
231,Q104370818,http://www.wikidata.org/entity/Q104370818,Q104370818
232,Q104370945,http://www.wikidata.org/entity/Q104370945,Q104370945
233,Q104370956,http://www.wikidata.org/entity/Q104370956,Q104370956
234,Q104370985,http://www.wikidata.org/entity/Q104370985,Boulevard des Capucines and théâtre du Vaudeville
235,Q104371236,http://www.wikidata.org/entity/Q104371236,Q104371236
236,Q104371247,http://www.wikidata.org/entity/Q104371247,Q104371247
237,Q104371536,http://www.wikidata.org/entity/Q104371536,Q104371536
238,Q104371707,http://www.wikidata.org/entity/Q104371707,Q104371707
239,Q104371723,http://www.wikidata.org/entity/Q104371723,Q104371723
240,Q104372991,http://www.wikidata.org/entity/Q104372991,Q104372991
241,Q104373002,http://www.wikidata.org/entity/Q104373002,Portrait of Claude Nicolas Ledoux (1736-1806) with his daughter
242,Q104373004,http://www.wikidata.org/entity/Q104373004,Q104373004
243,Q104373012,http://www.wikidata.org/entity/Q104373012,Interior with the artist at work and a view on the Église Saint-Eustache
244,Q104373067,http://www.wikidata.org/entity/Q104373067,Q104373067
245,Q104373133,http://www.wikidata.org/entity/Q104373133,Q104373133
246,Q104373139,http://www.wikidata.org/entity/Q104373139,"Portrait of Jules Vallès (1832-1885), author"
247,Q104373154,http://www.wikidata.org/entity/Q104373154,Q104373154
248,Q104373171,http://www.wikidata.org/entity/Q104373171,Q104373171
249,Q104373173,http://www.wikidata.org/entity/Q104373173,Q104373173
250,Q104373234,http://www.wikidata.org/entity/Q104373234,Portrait of Jean de la Fontaine
251,Q104373258,http://www.wikidata.org/entity/Q104373258,Q104373258
252,Q104373262,http://www.wikidata.org/entity/Q104373262,"View of Paris with the Grande Galerie du Louvre, the porte Neuve, the Tour de Bois, the Pont-Neuf and la Cité"
253,Q104373264,http://www.wikidata.org/entity/Q104373264,Q104373264
254,Q104373366,http://www.wikidata.org/entity/Q104373366,Q104373366
255,Q104373378,http://www.wikidata.org/entity/Q104373378,Q104373378
256,Q104373386,http://www.wikidata.org/entity/Q104373386,Maria Malibran as Desdemona in Rossini's Otello
257,Q104373387,http://www.wikidata.org/entity/Q104373387,Q104373387
258,Q104373413,http://www.wikidata.org/entity/Q104373413,Q104373413
259,Q104373472,http://www.wikidata.org/entity/Q104373472,Q104373472
260,Q104373514,http://www.wikidata.org/entity/Q104373514,Q104373514
261,Q104373571,http://www.wikidata.org/entity/Q104373571,"Paris, The Bridge of Arts II"
262,Q104373573,http://www.wikidata.org/entity/Q104373573,Q104373573
263,Q104373591,http://www.wikidata.org/entity/Q104373591,Q104373591
264,Q104373610,http://www.wikidata.org/entity/Q104373610,Q104373610
265,Q104373626,http://www.wikidata.org/entity/Q104373626,Q104373626
266,Q104373628,http://www.wikidata.org/entity/Q104373628,Q104373628
267,Q104373632,http://www.wikidata.org/entity/Q104373632,Q104373632
268,Q104373637,http://www.wikidata.org/entity/Q104373637,Q104373637
269,Q104373644,http://www.wikidata.org/entity/Q104373644,Q104373644
270,Q104373687,http://www.wikidata.org/entity/Q104373687,Q104373687
271,Q104373751,http://www.wikidata.org/entity/Q104373751,Q104373751
272,Q104377169,http://www.wikidata.org/entity/Q104377169,Q104377169
273,Q104377229,http://www.wikidata.org/entity/Q104377229,Q104377229
274,Q104377239,http://www.wikidata.org/entity/Q104377239,Q104377239
275,Q104377248,http://www.wikidata.org/entity/Q104377248,Q104377248
276,Q104377249,http://www.wikidata.org/entity/Q104377249,Q104377249
277,Q104377256,http://www.wikidata.org/entity/Q104377256,Q104377256
278,Q104377257,http://www.wikidata.org/entity/Q104377257,Q104377257
279,Q104377264,http://www.wikidata.org/entity/Q104377264,"Françoise-Marguerite de Sévigné, comtesse de Grignan"
280,Q104377328,http://www.wikidata.org/entity/Q104377328,Q104377328
281,Q104377371,http://www.wikidata.org/entity/Q104377371,Q104377371
282,Q104377386,http://www.wikidata.org/entity/Q104377386,Q104377386
283,Q104377791,http://www.wikidata.org/entity/Q104377791,Q104377791
284,Q104377797,http://www.wikidata.org/entity/Q104377797,Q104377797
