relation,index
http://www.wikidata.org/prop/direct/P3480,193
http://www.wikidata.org/prop/direct/P4765,194
http://www.wikidata.org/prop/direct/P5783,195
http://www.wikidata.org/prop/direct/P1042,196
http://www.wikidata.org/prop/direct/P176,197
http://www.wikidata.org/prop/direct/P4511,198
http://www.wikidata.org/prop/direct/P1830,199
http://www.wikidata.org/prop/direct/P734,200
http://www.wikidata.org/prop/direct/P8091,201
http://www.wikidata.org/prop/direct/P8574,202
http://www.wikidata.org/prop/direct/P149,203
http://www.wikidata.org/prop/direct/P1877,204
http://www.wikidata.org/prop/direct/P6379,205
http://www.wikidata.org/prop/direct/P11754,206
http://www.wikidata.org/prop/direct/P7457,207
http://www.wikidata.org/prop/direct/P7417,208
http://www.wikidata.org/prop/direct/P1028,209
http://www.wikidata.org/prop/direct/P2408,210
http://www.wikidata.org/prop/direct/P562,211
http://www.wikidata.org/prop/direct/P9403,212
http://www.wikidata.org/prop/direct/P577,213
http://www.wikidata.org/prop/direct/P10883,214
http://www.wikidata.org/prop/direct/P3929,215
http://www.wikidata.org/prop/direct/P6405,216
http://www.wikidata.org/prop/direct/P854,217
http://www.wikidata.org/prop/direct/P859,218
http://www.wikidata.org/prop/direct/P1419,219
http://www.wikidata.org/prop/direct/P10039,220
http://www.wikidata.org/prop/direct/P2681,221
http://www.wikidata.org/prop/direct/P580,222
http://www.wikidata.org/prop/direct/P582,223
http://www.wikidata.org/prop/direct/P155,224
http://www.wikidata.org/prop/direct/P2682,225
http://www.wikidata.org/prop/direct/P585,226
http://www.wikidata.org/prop/direct/P6358,227
http://www.wikidata.org/prop/direct/P6334,228
http://www.wikidata.org/prop/direct/P4619,229
http://www.wikidata.org/prop/direct/P1669,230
http://www.wikidata.org/prop/direct/P6760,231
http://www.wikidata.org/prop/direct/P6002,232
http://www.wikidata.org/prop/direct/P349,233
http://www.wikidata.org/prop/direct/P989,234
http://www.wikidata.org/prop/direct/P8349,235
http://www.wikidata.org/prop/direct/P6573,236
http://www.wikidata.org/prop/direct/P8313,237
http://www.wikidata.org/prop/direct/P6058,238
http://www.wikidata.org/prop/direct/P7982,239
http://www.wikidata.org/prop/direct/P1375,240
http://www.wikidata.org/prop/direct/P3553,241
http://www.wikidata.org/prop/direct/P7822,242
http://www.wikidata.org/prop/direct/P7827,243
http://www.wikidata.org/prop/direct/P409,244
http://www.wikidata.org/prop/direct/P6262,245
http://www.wikidata.org/prop/direct/P3222,246
http://www.wikidata.org/prop/direct/P7832,247
http://www.wikidata.org/prop/direct/P6900,248
http://www.wikidata.org/prop/direct/P5019,249
http://www.wikidata.org/prop/direct/P691,250
http://www.wikidata.org/prop/direct/P3219,251
http://www.wikidata.org/prop/direct/P7843,252
http://www.wikidata.org/prop/direct/P4342,253
http://www.wikidata.org/prop/direct/P5905,254
http://www.wikidata.org/prop/direct/P737,255
http://www.wikidata.org/prop/direct/P10093,256
http://www.wikidata.org/prop/direct/P3280,257
http://www.wikidata.org/prop/direct/P7229,258
http://www.wikidata.org/prop/direct/P6633,259
http://www.wikidata.org/prop/direct/P7704,260
http://www.wikidata.org/prop/direct/P6323,261
http://www.wikidata.org/prop/direct/P3324,262
http://www.wikidata.org/prop/direct/P1207,263
http://www.wikidata.org/prop/direct/P1006,264
http://www.wikidata.org/prop/direct/P648,265
http://www.wikidata.org/prop/direct/P5632,266
http://www.wikidata.org/prop/direct/P1315,267
http://www.wikidata.org/prop/direct/P2936,268
http://www.wikidata.org/prop/direct/P407,269
http://www.wikidata.org/prop/direct/P740,270
http://www.wikidata.org/prop/direct/P3783,271
http://www.wikidata.org/prop/direct/P462,272
http://www.wikidata.org/prop/direct/P7763,273
http://www.wikidata.org/prop/direct/P5466,274
http://www.wikidata.org/prop/direct/P4432,275
http://www.wikidata.org/prop/direct/P1066,276
http://www.wikidata.org/prop/direct/P366,277
http://www.wikidata.org/prop/direct/P10565,278
http://www.wikidata.org/prop/direct/P9365,279
http://www.wikidata.org/prop/direct/P2354,280
http://www.wikidata.org/prop/direct/P10,281
http://www.wikidata.org/prop/direct/P825,282
http://www.wikidata.org/prop/direct/P7502,283
http://www.wikidata.org/prop/direct/P7108,284
http://www.wikidata.org/prop/direct/P4399,285
http://www.wikidata.org/prop/direct/P770,286
http://www.wikidata.org/prop/direct/P6310,287
http://www.wikidata.org/prop/direct/P6356,288
http://www.wikidata.org/prop/direct/P9787,289
http://www.wikidata.org/prop/direct/P5816,290
http://www.wikidata.org/prop/direct/P443,291
http://www.wikidata.org/prop/direct/P11408,292
http://www.wikidata.org/prop/direct/P827,293
http://www.wikidata.org/prop/direct/P1651,294
http://www.wikidata.org/prop/direct/P4313,295
http://www.wikidata.org/prop/direct/P1303,296
http://www.wikidata.org/prop/direct/P108,297
http://www.wikidata.org/prop/direct/P1442,298
http://www.wikidata.org/prop/direct/P3065,299
http://www.wikidata.org/prop/direct/P26,300
http://www.wikidata.org/prop/direct/P412,301
http://www.wikidata.org/prop/direct/P119,302
http://www.wikidata.org/prop/direct/P3373,303
http://www.wikidata.org/prop/direct/P5504,304
http://www.wikidata.org/prop/direct/P1958,305
http://www.wikidata.org/prop/direct/P5891,306
http://www.wikidata.org/prop/direct/P279,307
http://www.wikidata.org/prop/direct/P1986,308
http://www.wikidata.org/prop/direct/P6610,309
http://www.wikidata.org/prop/direct/P10759,310
http://www.wikidata.org/prop/direct/P10750,311
http://www.wikidata.org/prop/direct/P10760,312
http://www.wikidata.org/prop/direct/P8814,313
http://www.wikidata.org/prop/direct/P805,314
http://www.wikidata.org/prop/direct/P1823,315
http://www.wikidata.org/prop/direct/P8565,316
http://www.wikidata.org/prop/direct/P3634,317
http://www.wikidata.org/prop/direct/P11110,318
http://www.wikidata.org/prop/direct/P1695,319
http://www.wikidata.org/prop/direct/P4683,320
http://www.wikidata.org/prop/direct/P4582,321
http://www.wikidata.org/prop/direct/P435,322
http://www.wikidata.org/prop/direct/P4674,323
