Type URI,Type Label,Total Entities
http://www.wikidata.org/entity/Q1562096,ironwork,1
http://www.wikidata.org/entity/Q15727816,painting series,3
http://www.wikidata.org/entity/Q10145,milestone,1
http://www.wikidata.org/entity/Q830004,bit,1
http://www.wikidata.org/entity/Q2100658,poignard,2
http://www.wikidata.org/entity/Q103896,compass,1
http://www.wikidata.org/entity/Q13422881,razor,1
http://www.wikidata.org/entity/Q932698,tabernacle tower,1
http://www.wikidata.org/entity/Q229765,zun,1
http://www.wikidata.org/entity/Q178743,stele,5
http://www.wikidata.org/entity/Q175112,pilaster,7
http://www.wikidata.org/entity/Q2188827,hanging scroll,2
http://www.wikidata.org/entity/Q1400612,art forgery,1
http://www.wikidata.org/entity/Q390383,pocket knife,1
http://www.wikidata.org/entity/Q834007,antlers,1
http://www.wikidata.org/entity/Q131559,shield,2
http://www.wikidata.org/entity/Q201664,bracelet,3
http://www.wikidata.org/entity/Q192504,tweezers,1
http://www.wikidata.org/entity/Q285386,ear pick,1
http://www.wikidata.org/entity/Q43436,pearl,1
http://www.wikidata.org/entity/Q1160695,pithos,2
http://www.wikidata.org/entity/Q174705,oil painting,1
http://www.wikidata.org/entity/Q579418,lekythos,3
http://www.wikidata.org/entity/Q2269280,Q2269280,3
http://www.wikidata.org/entity/Q588951,overdoor,2
http://www.wikidata.org/entity/Q268547,roof tile,1
http://www.wikidata.org/entity/Q573870,bi,1
http://www.wikidata.org/entity/Q17537576,creative work,8
http://www.wikidata.org/entity/Q755706,kantharos,3
http://www.wikidata.org/entity/Q1416517,cartoon,1
http://www.wikidata.org/entity/Q567620,anonymous work,5
http://www.wikidata.org/entity/Q22970505,painted crucifix,3
http://www.wikidata.org/entity/Q2978772,Keystone,1
http://www.wikidata.org/entity/Q642861,holy water font,1
http://www.wikidata.org/entity/Q446,wheel,1
http://www.wikidata.org/entity/Q203788,chariot,1
http://www.wikidata.org/entity/Q15078648,drachma,3
http://www.wikidata.org/entity/Q493509,chatelaine,2
